finding,severity,target,remediation,tools_used,cvss,signature,novel
SQL Injection Authentication Bypass Yields Administrator JWT,critical,OWASP Juice Shop 14.5.1 on Node.js v18.14.0,Use parameterized ORM queries/prepared statements for authentication and return a generic 401 on failed login.,,9.8,"T1190, T1078",no
JWT RS256-to-HS256 algorithm confusion permits forged bearer tokens,critical,OWASP Juice Shop 14.5.1 B2B API JWT authentication:3000,"Pin accepted JWT algorithms to RS256 only, reject HMAC algorithms for RSA-keyed tokens, and keep verification keys out of web-accessible static paths unless intentionally published with strict algorithm binding.",,9.1,"T1190, T1552",no
SQL Injection Authentication Bypass Yields Administrator JWT,critical,OWASP Juice Shop 14.5.1 on Node.js v18.14.0,Replace string-concatenated login SQL with parameterized ORM queries and add regression tests for SQL metacharacters in credentials.,,9.8,"T1190, T1059",no
JWT alg=none Accepted for Privilege Escalation,critical,OWASP Juice Shop 14.5.1 JWT authentication:3000,"Pin JWT verification to RS256, explicitly reject alg=none, and fail closed on any JWT verification error.",,9.1,"T1606, T1550",no
FTP Download Allowlist Bypass Exposes Backup Artifacts,high,OWASP Juice Shop 14.5.1 static /ftp artifact handler:3000,"Canonicalize and decode filenames before validation, reject null bytes and backups, and store non-public artifacts outside the web root.",,7.5,"T1083, T1005",no
Unauthenticated Admin Application Configuration Disclosure,medium,OWASP Juice Shop 14.5.1 admin configuration API:3000,Require administrator authentication for admin configuration APIs and split public UI config from sensitive server configuration.,,5.3,T1082,no
Unauthenticated Prometheus Metrics Exposure,medium,OWASP Juice Shop 14.5.1 /metrics endpoint:3000,Protect /metrics with authentication or restrict it to a private monitoring interface/network.,,5.3,T1082,no
Password Recovery Security Question Enumeration,medium,OWASP Juice Shop 14.5.1 password recovery API:3000,"Do not expose per-user recovery questions pre-authentication; use generic responses, rate limiting, and stronger recovery factors.",,5.3,T1589,no
Verbose JSON Parser Error Disclosure,low,OWASP Juice Shop 14.5.1 Express JSON parser:3000,Return generic 400 responses for malformed JSON and disable verbose development error pages in production.,,3.7,T1592,no
Unauthenticated OpenAPI Schema Disclosure for Protected B2B API,low,OWASP Juice Shop 14.5.1 Swagger UI / B2B API:3000,Require authentication for internal API documentation or publish only a redacted public OpenAPI specification.,,3.7,T1592,no
JWT Verification Public Key Exposed Unauthenticated,low,OWASP Juice Shop 14.5.1 JWT key endpoint:3000,Remove JWT key files from public static paths and store key material in a secret manager or non-web-readable filesystem location.,,3.1,T1552,no
Unsigned alg=none JWTs accepted by protected B2B API,critical,OWASP Juice Shop 14.5.1 B2B API JWT authentication:3000,Disable alg=none support and enforce a fixed allowlist of expected JWT algorithms on every protected endpoint.,,9.1,T1190,no
JWT Algorithm Confusion Accepts Unsigned and HS256-Forged Administrator Tokens,critical,OWASP Juice Shop 14.5.1 JWT authentication on Node.js v18.14.0,"Pin JWT verification to RS256 only, never trust the token header algorithm, reject alg=none, and never use asymmetric public keys as HMAC secrets.",,9.8,"T1190, T1550",no
