finding,severity,target,remediation,tools_used,cvss,signature,novel
"World-readable /etc/shadow disclosed via LFI (all accounts locked, but file structure leaked)",low,Debian container base image / GENESIS demo:8080,Constrain /download to its FILES_DIR with resolve+relative_to (already present in PATCHED mode).,,3.7,"T1003.008, T1083",no
Unauthenticated JWT Issuance — /auth/demo-token Mints Admin Tokens for Anonymous Callers,critical,FastAPI 0.115.6 / GENESIS CISO Demo Range v1.0.0 (BOTH 10.10.0.11 vulnerable and 10.10.0.10 patched):8080,(1) Delete /auth/demo-token in production. (2) Require credentials at /auth/login and never trust client-supplied role; resolve role from the authenticated user record server-side. (3) Add per-IP rate limiting + audit log on token issuance.,,9.4,"CWE-306, CWE-269",no
JWT Verifier Ignores 'alg' Header — Algorithm-Confusion Across All Schemes,high,"FastAPI 0.115.6 / GENESIS CISO Demo Range v1.0.0 (10.10.0.11:8080, vulnerable mode)","Enforce an explicit allowlist for the alg header before signature verification (alg == 'HS256' only; reject 'none', missing, empty, and every other value). The patched twin's verifier already does this — port the same check to the vulnerable build.",,8.6,"CWE-327, CWE-347",no
LFI exposes /etc/shadow + /proc/self/environ + /proc/net/tcp (full container introspection),high,GENESIS CISO Demo Range FastAPI 1.0.0 (DEMO_MODE=vulnerable):8080,Resolve + reject paths outside FILES_DIR; drop container root.,,8.6,"T1083, T1005, T1552",no
LFI exposes /etc/shadow + /proc/self/environ + /proc/net/tcp (full container introspection),high,GENESIS CISO Demo Range FastAPI 1.0.0 (DEMO_MODE=vulnerable):8080,Resolve + reject paths outside FILES_DIR; drop container root.,,8.6,"T1083, T1005, T1552",no
SSRF-as-port-scan: /api/fetch enables discovery of internal docker services (172.20.0.0/24),high,GENESIS CISO Demo Range FastAPI 1.0.0 (DEMO_MODE=vulnerable):8080,Filter SSRF targets and avoid leaking backend error strings.,,7.5,"T1046, T1190",no
Container process runs as Uid:0 (root) with DAC_OVERRIDE — privilege amplifier for all RCE/LFI primitives,high,GENESIS CISO Demo Range v1.0.0 (uvicorn) on Docker container e05814d7d55f,Drop root in the container: add `USER appuser` to the Dockerfile and `cap_drop: [ALL]` + `no-new-privileges: true` in compose.,,8.1,"T1611, T1068",no
Container runs as root (Uid:0) — escalates every other web vuln to container-root,high,GENESIS CISO Demo Range FastAPI 1.0.0 deployment:8080,Run uvicorn as non-root inside the container; drop all linux capabilities.,,8.0,T1611,no
Source code disclosure also present on patched twin (no mode gating on /demo-artifacts route),medium,GENESIS CISO Demo Range FastAPI 1.0.0 (DEMO_MODE=patched):8080,Gate or remove source-disclosure endpoints in any non-demo deployment.,,6.5,T1592.002,no
Patched twin retains unauthenticated admin JWT minting endpoint /auth/demo-token,high,GENESIS CISO Demo Range FastAPI 1.0.0 (DEMO_MODE=patched):8080,Remove anonymous token-mint endpoint; require real authentication for /auth/login.,,8.6,"T1078, T1136",no
"Patched-twin SSRF blocklist bypass via hostname normalization (trailing dot, decimal/octal/hex IPs, '0' shorthand)",high,GENESIS CISO Demo Range FastAPI 1.0.0 (DEMO_MODE=patched):8080,"Resolve DNS server-side, normalise host (strip trailing dot, lowercase), then test against an IP-based deny-list — never a string deny-list.",,8.6,"T1190, T1552.005",no
Forged JWT Chains into IDOR — Read Any Account via /api/accounts/{id},high,FastAPI 0.115.6 / GENESIS CISO Demo Range v1.0.0,Enforce owner == token.sub (or role == admin) on every account lookup — patched branch already does this and must always run.,,8.6,"T1078, T1213",no
Verbose SQL Error / Internal Query Disclosure in /api/search response,medium,GENESIS CISO Demo Range FastAPI 1.0.0,Never echo internal SQL or stack traces to clients.,,5.3,T1592,no
