finding,severity,target,remediation,tools_used,cvss,signature,novel
Unhandled exception on JSON NaN/Infinity values — error-path DoS,low,FastAPI 1.0.0 /auth/login (and other Pydantic-bodied POST routes):8080,Reject JSON bodies containing NaN/Infinity/-Infinity at the middleware layer with a 400; ensure pydantic ValidationError handler returns 422 not 500.,,4.3,T1499.004,no
Hand-rolled JWT verifier ignores RFC 7515 `crit` header and `typ` claim — JOSE conformance gaps,low,GENESIS CISO Demo Range — FastAPI 1.0.0 _verify_token() custom JWT impl:8080,"Replace the hand-rolled JWT code with `pyjwt` or `python-jose` which handles `crit`, `typ`, and strict JSON parsing per RFC. Avoid implementing JOSE primitives by hand.",,3.7,T1606.001,no
SSRF→RCE lateral pivot: command injection on sibling 'vulnerable twin' container reachable through bypassed allowlist,critical,GENESIS demo twin (vulnerable mode) at host.docker.internal:8088 → /api/diagnostics/ping,Decommission the deliberately-vulnerable twin OR enforce the same _HOST_RE regex used in patched mode; AND fix .10's SSRF allowlist (chain-2 pos 1).,,9.8,"T1190, T1059.004, T1210",no
SSRF → cloud metadata credential exfiltration (full chain),critical,GENESIS CISO Demo Range FastAPI 1.0.0 (DEMO_MODE=patched):8080,"Resolve DNS first, validate ALL resulting IPs against private/loopback/link-local/reserved/unspecified ranges, and explicitly deny known cloud-metadata IPs. Strip FQDN trailing dot before comparison.",,9.1,"T1552.005, T1190",no
End-to-end CRITICAL chain: unauth → admin → cross-tenant PII → cloud-credential theft,critical,"GENESIS CISO Demo Range (FastAPI 1.0.0) — patched build, port 8080","Defense in depth: remove demo-mode endpoints from production builds, never serve source, harden SSRF filters to resolve hostnames, decouple role from data-scope, rotate the disclosed JWT secret immediately.",,10.0,"T1190, T1552.001, T1078",no
SSRF → cloud metadata credential exfiltration (full chain),critical,GENESIS CISO Demo Range FastAPI 1.0.0 (DEMO_MODE=patched):8080,"Resolve DNS first, validate ALL resulting IPs against private/loopback/link-local/reserved/unspecified ranges, and explicitly deny known cloud-metadata IPs. Strip FQDN trailing dot before comparison.",,9.1,"T1552.005, T1190",no
SSRF allowlist bypass via docker-DNS hostname grants read access to internal control plane (Replica Manager + bench-API),high,GENESIS CISO Demo Range FastAPI 1.0.0 / /api/fetch (patched mode):8080,Resolve hostname to IP via socket.getaddrinfo() BEFORE the private/loopback check; fail-closed on any docker-internal name.,,8.6,"T1190, T1090",no
IDOR / horizontal+vertical privilege escalation on /api/accounts/{id},high,GENESIS CISO Demo Range (FastAPI 1.0.0) — patched build:8080,Decouple 'admin role' from 'cross-tenant read'; require an explicit scope/permission for cross-account access and audit every cross-tenant access.,,8.1,"T1087, T1078.001",no
Unauthenticated admin JWT issuance via /auth/demo-token,critical,GENESIS CISO Demo Range (FastAPI 1.0.0) — patched build:8080,"Delete /auth/demo-token in non-demo builds; tokens must only be minted after real authentication, and role must be derived server-side from a trusted user record.",,9.8,"T1078, T1190",no
Full backend source code disclosure (no auth),high,GENESIS CISO Demo Range FastAPI 1.0.0,Delete /demo-artifacts/* routes; build production images without source files.,,7.5,"T1592.002, T1213",no
JWTs lack exp/iat/nbf/jti claims — tokens are valid indefinitely and cannot be revoked,medium,"GENESIS CISO Demo Range — FastAPI 1.0.0 (uvicorn, DEMO_MODE=patched):8080","Add `exp` (short, ≤15min), `iat`, `nbf`, `jti`, `iss`, `aud` claims at issuance; validate all of them at verification; maintain a jti revocation list for early invalidation; require TLS for token transport.",,5.3,"T1550.001, T1552",no
JWT bearer tokens transmitted over cleartext HTTP — no TLS available on port 8080,medium,GENESIS CISO demo range on uvicorn (port 8080 plain HTTP):8080,"Front the service with TLS (nginx/Caddy/ALB), redirect 80→443, set HSTS preload, and refuse to accept JWTs over plaintext.",,6.5,"T1040, T1557",no
JWTs lack exp/iat/nbf/jti claims — tokens are valid indefinitely and cannot be revoked,medium,"GENESIS CISO Demo Range — FastAPI 1.0.0 (uvicorn, DEMO_MODE=patched):8080","Add `exp` (short, ≤15min), `iat`, `nbf`, `jti`, `iss`, `aud` claims at issuance; validate all of them at verification; maintain a jti revocation list for early invalidation; require TLS for token transport.",,5.3,"T1550.001, T1552",no
"Internal Replica Manager state disclosure via SSRF — replica IDs, compose-dir paths, base URLs",high,GENESIS Replica Manager 7.0.0 (FastAPI) reachable via host.docker.internal:3701,"Add bearer-token auth to Replica Manager, network-isolate it from any service exposing user-controlled URL fetches.",,7.5,"T1213, T1018",no
Application source code disclosure exposes hard-coded JWT signing secret,high,"FastAPI 1.0.0 (GENESIS CISO demo range, mode=patched) on uvicorn:8080","Remove /demo-artifacts/source/* routes from prod, load JWT secret from env/KMS, rotate it immediately.",,8.2,"T1592.002, T1552.001",no
JWT token forgery via leaked HMAC signing key (CWE-321 Hard-coded cryptographic key),critical,"FastAPI 1.0.0 (GENESIS CISO demo range, mode=patched) on uvicorn:8080","Rotate JWT secret immediately, load from secret manager, and revoke all tokens.",,9.8,"T1552.001, T1606.001, T1078",no
Broken authentication — anonymous admin token issuance via /auth/demo-token and /auth/login,critical,"FastAPI 1.0.0 (GENESIS CISO demo range, mode=patched) on uvicorn:8080",Delete the demo-token endpoint; require credential verification (password+MFA) in /auth/login before minting any token.,,9.8,"T1078, T1190",no
Privileged endpoint access via forged admin role,high,FastAPI 1.0.0 /api/admin/metrics:8080,"Authorize admin actions against a server-side admin list keyed on `sub`, not a self-asserted claim.",,8.8,T1078.003,no
IDOR — read arbitrary account via admin-role bypass,high,FastAPI 1.0.0 /api/accounts/{id}:8080,Require explicit impersonation header + audit log for cross-owner reads; do not blanket-grant admin.,,8.1,T1213,no
SSRF filter bypass via hostname (non-IP) — internal metadata service credential leak,high,FastAPI 1.0.0 /api/fetch (httpx):8080,Resolve hostname to IP first and apply private/loopback/link-local/metadata blocks on the resolved IP; pin the IP into the actual HTTP call to defeat DNS rebinding.,,8.6,"T1190, T1552.005",no
SSRF filter bypass via hostname (non-IP) — internal metadata service credential leak,high,FastAPI 1.0.0 /api/fetch (httpx):8080,Resolve hostname to IP first and apply private/loopback/link-local/metadata blocks on the resolved IP; pin the IP into the actual HTTP call to defeat DNS rebinding.,,8.6,"T1190, T1552.005",no
Hard-coded JWT signing secret disclosed via source artifact endpoint enables admin token forgery,critical,GENESIS CISO demo range FastAPI 1.0.0 (DEMO_MODE=patched) on uvicorn:8080,"Load the JWT key from a secret store (env/Vault), rotate it immediately, and remove the /demo-artifacts/source/* route that ships server source publicly.",,9.8,"T1552.001, T1606.001, T1078",no
Unauthenticated administrator-role JWT issuance via /auth/demo-token and /auth/login,critical,GENESIS CISO demo range FastAPI 1.0.0 (DEMO_MODE=patched) on uvicorn:8080,"Remove /auth/demo-token entirely; require credential verification in /auth/login and derive role server-side from the user record, never from the request body.",,9.8,"T1078, T1190",no
Server source code disclosure via /demo-artifacts/source/app/main.py,high,GENESIS CISO demo range FastAPI 1.0.0 on uvicorn:8080,Delete the /demo-artifacts/source/* routes and /demo-artifacts/source-index.json from production deployment; rotate any secrets that ever appeared in source.,,7.5,"T1592.002, T1213",no
Unauthenticated admin JWT mint via /auth/demo-token & /auth/login,critical,"GENESIS CISO Demo Range — FastAPI 1.0.0 (uvicorn, DEMO_MODE=patched):8080","Delete /auth/demo-token; require password authentication on /auth/login; derive `role` server-side from a user-store lookup, never from request input.",,9.8,"T1078, T1212, T1550.001",no
JWT signing secret disclosed in public source artifact enables offline admin-token forgery,critical,"GENESIS CISO Demo Range — FastAPI 1.0.0 (uvicorn, DEMO_MODE=patched):8080",Remove all /demo-artifacts/* source-serving routes from production. Move JWT secret to a secret manager. Rotate the leaked secret and invalidate outstanding tokens.,,9.8,"T1552.001, T1606.001",no
Broken authorization on /api/accounts/{id} — admin role grants cross-account PII access,high,GENESIS CISO Demo Range — FastAPI 1.0.0,"Remove the admin short-circuit from the per-account endpoint; provide an explicit, audit-logged admin route for cross-tenant reads with break-glass approval.",,7.5,"T1087.001, T1078.003",no
SSRF pivot to vulnerable twin → SQL injection (chained through patched host),high,GENESIS CISO demo range vulnerable twin /api/search:8080,Parameterize all DB queries; isolate vulnerable twin from SSRF-reachable network.,,8.6,T1190,no
SSRF pivot to vulnerable twin → unauthenticated RCE as root (chained through patched host),critical,GENESIS CISO demo range (patched twin) /api/fetch + vulnerable twin /api/diagnostics/ping:8080,Resolve hostnames before SSRF allow/deny; replace shell=True echo with safe string interpolation gated by a regex; remove vulnerable twin from any network reachable via SSRF pivot.,,9.9,"T1190, T1059.004, T1090",no
SSRF pivot to vulnerable twin → SQL injection (chained through patched host),high,GENESIS CISO demo range vulnerable twin /api/search:8080,Parameterize all DB queries; isolate vulnerable twin from SSRF-reachable network.,,8.6,T1190,no
JWT verifier ignores all temporal/audience claims (exp/iat/nbf/iss/aud) — tokens never expire and cannot be revoked,high,GENESIS CISO demo range FastAPI 1.0.0 on uvicorn:8080,"Add exp/iat/nbf/iss/aud validation (or use PyJWT's `decode(..., audience=..., issuer=..., require=['exp','iat'])`); set issuance to mint short-lived tokens (≤15 min) and add a refresh-token flow with server-side revocation list.",,8.1,"T1550.001, T1606.001",no
Source code disclosure leaks hard-coded JWT signing secret,critical,GENESIS CISO Demo Range FastAPI 1.0.0 (DEMO_MODE=patched):8080,Load JWT secret from env/secret manager only; never commit; delete the /demo-artifacts/source/* route.,,9.8,"T1552.001, T1552.004",no
Unauthenticated admin JWT minting endpoint,critical,GENESIS CISO Demo Range FastAPI 1.0.0 (DEMO_MODE=patched):8080,Delete /auth/demo-token; /auth/login must verify password hash and never trust client-supplied role.,,9.1,"T1078, T1212",no
IDOR — cross-tenant account access via admin role bypass,high,GENESIS CISO Demo Range FastAPI 1.0.0 (DEMO_MODE=patched):8080,Decouple data-read authorisation from a single boolean role claim; enforce per-tenant ownership server-side.,,8.1,"T1530, T1213",no
SSRF→RCE chain achieves arbitrary file read and environment-variable exfiltration on internal vulnerable twin,critical,GENESIS CISO demo range vulnerable twin reached via .10 patched /api/fetch:8080,Apply both chain-2#1 and chain-3#2 patches; rotate any secrets in container env; deny egress from .10 to docker-internal hostnames.,,9.9,"T1005, T1083, T1552.001",no
