finding,severity,target,remediation,tools_used,cvss,signature,novel
Unauthenticated Spring Boot Actuator Health Discloses WebGoat Runtime Topology,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Restrict actuator endpoints to authenticated administrators or a private management interface and hide health details from unauthenticated users.,,5.3,"T1082, T1590.004",no
Unauthenticated Spring Boot Actuator Env Exposes Sensitive Configuration Keyspace,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Disable public env/configprops actuator exposure or require strong administrative authentication and network restrictions.,,5.3,"T1082, T1552.002",no
WebWolf Session Cookie Lacks Secure and SameSite on Plaintext HTTP,medium,OWASP WebWolf / Spring Security on Apache Tomcat 10.1.36,Serve WebWolf exclusively over HTTPS and set Secure and SameSite=Strict/Lax on session cookies.,,5.4,"T1539, T1550.004",no
WebGoat JSESSIONID cookie issued without Secure or SameSite over plaintext HTTP,medium,OWASP WebGoat 2025.3 / Spring Security on Apache Tomcat 10.1.36,Serve WebGoat only over HTTPS and set Secure plus SameSite=Strict/Lax on session cookies; disable URL-based session tracking.,,5.4,"T1539, T1550.004",no
WebWolf WEBWOLFSESSION cookie issued without Secure or SameSite over plaintext HTTP,medium,OWASP WebWolf / Spring Security on Apache Tomcat 10.1.36,Serve WebWolf only over HTTPS and set Secure plus SameSite=Strict/Lax on WEBWOLFSESSION.,,5.4,"T1539, T1550.004",no
Unauthenticated Spring Boot Actuator ConfigProps Exposes Application Binding Metadata,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Disable public configprops exposure or restrict actuator endpoints to authenticated administrators on a private management network.,,5.3,"T1082, T1590.004",no
WebGoat Session Cookie Lacks Secure and SameSite on Plaintext HTTP,medium,OWASP WebGoat 2025.3 / Spring Security on Apache Tomcat 10.1.36,Serve WebGoat exclusively over HTTPS and set Secure plus SameSite=Strict/Lax on JSESSIONID.,,5.4,"T1539, T1550.004",no
JWT alg=none authentication bypass on WebGoat JWTVotesEndpoint,high,OWASP WebGoat 2025.3 JWTVotesEndpoint / Spring Boot on Apache Tomcat 10.1.36,Disable alg=none support and validate JWTs with a pinned algorithm and server-side key management.,,8.1,"T1550.001, T1606",no
Weak hard-coded JWT HMAC secret 'victory' permits forged admin token,high,OWASP WebGoat 2025.3 JWTVotesEndpoint / Spring Boot on Apache Tomcat 10.1.36,"Remove hard-coded JWT secrets, rotate signing keys, and require a high-entropy >=512-bit HS512 secret stored outside source/config.",,8.1,"T1552.002, T1550.001, T1606",no
Unauthenticated Spring Boot Actuator health endpoint leaks runtime metadata,medium,OWASP WebGoat 2025.3 Spring Boot Actuator / Apache Tomcat 10.1.36,Restrict actuator endpoints to authenticated administrators and disable detailed health output for unauthenticated users.,,5.3,"T1082, T1590.004",no
Unauthenticated Spring Boot Actuator env exposes sensitive configuration keyspace,medium,OWASP WebGoat 2025.3 Spring Boot Actuator / Apache Tomcat 10.1.36,Disable /actuator/env or restrict it to an internal authenticated management plane; do not expose sensitive key names externally.,,6.5,"T1082, T1552.002",no
Unauthenticated Spring Boot Actuator configprops exposes application binding metadata,medium,OWASP WebGoat 2025.3 Spring Boot Actuator / Apache Tomcat 10.1.36,Disable /actuator/configprops externally or require administrator authentication and network restrictions.,,5.3,"T1082, T1590.004",no
WebGoat JWT Voting Lesson Uses Weak HS512 HMAC Secret 'victory',medium,OWASP WebGoat 2025.3 JWT Voting Lesson / Spring Boot on Apache Tomcat 10.1.36,"Rotate the JWT HMAC secret to a high-entropy per-environment value, invalidate existing tokens, enforce issuer/audience/expiry, and set Secure/SameSite on token cookies.",,6.5,"T1550.001, T1606",no
WebGoat JWT Voting Lesson Accepts alg=none Admin Tokens,medium,OWASP WebGoat 2025.3 JWT Voting Lesson / Spring Boot on Apache Tomcat 10.1.36,"Disable unsecured JWT parsing, pin accepted algorithms to HS512 with a strong key, and add tests that alg=none tokens are rejected.",,6.5,"T1550.001, T1606",no
WebWolf URL-Rewrites Session Identifier into Redirect Location,medium,OWASP WebWolf / Spring Security on Apache Tomcat 10.1.36,"Disable URL-based session tracking, use cookie-only sessions, and set Secure/SameSite with HTTPS enforcement.",,5.4,"T1539, T1550.004",no
WebGoat JWT voting access_token uses weak HS512 secret 'victory' enabling admin token forgery,high,OWASP WebGoat 2025.3 JWTVotesEndpoint / Spring Boot on Apache Tomcat 10.1.36,Replace the hard-coded HMAC secret with rotated high-entropy key material and enforce issuer/audience/expiry claims.,,8.1,"T1552.001, T1550.001, T1606",no
WebGoat JWT voting endpoint accepts unsigned alg=none admin tokens,high,OWASP WebGoat 2025.3 JWTVotesEndpoint / Spring Boot on Apache Tomcat 10.1.36,Reject alg=none/unsigned JWTs and pin the allowed signing algorithm server-side instead of trusting the token header.,,8.1,"T1550.001, T1606",no
Session Cookies Issued Over Plaintext HTTP Without Secure/SameSite,medium,OWASP WebGoat/WebWolf 2025.3 / Apache Tomcat 10.1.36,Serve WebGoat/WebWolf only over HTTPS and set Secure plus SameSite=Strict/Lax on all session/token cookies.,,5.4,"T1539, T1550.004",no
WebWolf URL-rewrites WEBWOLFSESSION into redirect Location on protected upload route,medium,OWASP WebWolf / Spring Security on Apache Tomcat 10.1.36,Disable URL-based session tracking and use Secure/SameSite cookies over HTTPS only.,,5.4,"T1539, T1550.004",no
WebWolf uploaded files are retrievable unauthenticated and cross-account by username/filename,medium,OWASP WebWolf / Spring MVC on Apache Tomcat 10.1.36,Require authentication and enforce that the requested username matches the authenticated principal before serving uploaded files.,,6.5,"T1190, T1530, T1083",no
WebWolf Authenticated File Uploads Are Publicly Retrievable Without Authorization,medium,OWASP WebWolf / Spring Boot on Apache Tomcat 10.1.36,"Require authentication and per-user authorization for /WebWolf/files/{username}/{filename}, or make uploaded files unguessable and access-controlled.",,6.5,"T1105, T1530",no
Authenticated WebWolf Incoming Requests Page Returns HTTP 500 Error,low,OWASP WebWolf / Spring Boot on Apache Tomcat 10.1.36,"Add null checks and error handling for empty request logs, and return the expected request page instead of HTTP 500.",,3.5,T1499,no
Unauthenticated Spring Boot Actuator Discovery Index Exposes Management Endpoints,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator v3 on Apache Tomcat 10.1.36,Restrict actuator endpoints to authenticated administrators and expose only minimal health/info endpoints.,,5.3,"T1590.002, T1082",no
Unauthenticated Actuator Health Leaks Database Engine and Filesystem Topology,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator Health on Apache Tomcat 10.1.36,Disable unauthenticated health details and require authentication for component/subcomponent health data.,,5.3,"T1082, T1590.004",no
Unauthenticated Actuator Env Exposes Sensitive Configuration Keyspace,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator Env on Apache Tomcat 10.1.36,Disable the env actuator endpoint or restrict it to authenticated administrators only.,,6.5,"T1082, T1552.002",no
Unauthenticated Actuator ConfigProps Exposes Spring Binding Metadata,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator ConfigProps on Apache Tomcat 10.1.36,Disable configprops exposure or require administrative authentication for actuator configuration metadata.,,5.3,"T1082, T1590.004",no
WebGoat Session Cookie Issued Over Plaintext Without Secure or SameSite,medium,OWASP WebGoat 2025.3 / Spring Security Session on Apache Tomcat 10.1.36,"Serve WebGoat only over HTTPS and set Secure, HttpOnly, and SameSite=Strict/Lax on session cookies.",,5.4,"T1539, T1550.004",no
WebWolf Session Cookie Issued Over Plaintext Without Secure/SameSite and Leaked in URL-Rewritten Redirect,medium,OWASP WebWolf / Spring Security Session on Apache Tomcat 10.1.36,"Use HTTPS, set Secure/SameSite session attributes, and disable URL-based session tracking.",,6.1,"T1539, T1550.004",no
Missing Function-Level Access Control on WebGoat Hidden Menu Completion Endpoint,medium,OWASP WebGoat 2025.3 Missing Function Access Control Lesson / Spring Boot on Apache Tomcat 10.1.36,Enforce server-side authorization and lesson state checks for hidden/non-public functions instead of relying on UI navigation.,,6.5,"T1190, T1078.003",no
Authenticated WebGoat Error Responses Disclose Full Java Stack Traces,medium,OWASP WebGoat 2025.3 / Spring Boot Error Handling on Apache Tomcat 10.1.36,Disable stack traces in HTTP error responses and return generic client errors while logging details server-side only.,,5.3,T1082,no
Weak Hard-Coded JWT HMAC Secret Allows Forged Admin access_token,high,OWASP WebGoat 2025.3 JWTVotesEndpoint / HS512 JWT on Apache Tomcat 10.1.36,Replace the hard-coded JWT secret with a strong rotated secret from a secret manager and enforce robust JWT claim validation.,,8.1,"T1550.001, T1606",no
WebWolf Serves Uploaded Active Content Inline and Publicly Without Authentication,medium,OWASP WebWolf File Upload / Apache Tomcat 10.1.36,"Restrict allowed upload types, store files outside the web root, and serve user uploads as attachments with safe content types and nosniff.",,6.1,"T1190, T1189",no
Unauthenticated Cross-User Access to WebWolf Uploaded Files,medium,OWASP WebWolf Files Route / Apache Tomcat 10.1.36,Require authentication and object ownership checks before serving user-uploaded files.,,5.7,"T1078.003, T1213",no
WebWolf Files Page Publicly Exposes Upload Surface and Route Conventions,low,OWASP WebWolf Files UI / Apache Tomcat 10.1.36,Require authentication for /WebWolf/files and do not disclose upload/retrieval route conventions to unauthenticated users.,,3.7,T1590.002,no
CSRF on WebWolf File Upload Allows Cross-Site File Planting,medium,OWASP WebWolf File Upload / Spring Security on Apache Tomcat 10.1.36,Require CSRF tokens and validate Origin/Referer for /WebWolf/fileupload; set SameSite=Lax or Strict on WEBWOLFSESSION.,,6.5,"T1539, T1189",no
CSRF on WebGoat Registration Allows Cross-Site Account Creation,medium,OWASP WebGoat 2025.3 Registration / Spring MVC on Apache Tomcat 10.1.36,Add CSRF tokens and Origin/Referer validation to registration and other state-changing public forms.,,5.4,T1189,no
Unauthenticated Spring Boot Actuator Env Exposes Auth/OAuth Session Configuration Names,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Disable public env/configprops actuator exposure or require administrator authentication and network allow-listing.,,5.3,"T1082, T1552.002",no
Unauthenticated Spring Boot Actuator Discovery Index Exposes Management Surface,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Restrict actuator exposure to the minimum endpoints and require administrative authentication/network allow-listing for all management paths.,,5.3,"T1590.004, T1082",no
Unauthenticated Actuator Health Discloses Database and Filesystem Metadata,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Disable public health details and require authentication for detailed health component output.,,5.3,"T1082, T1590.004",no
Unauthenticated Actuator Env Exposes Runtime Configuration Keyspace,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Remove env from web exposure or require administrative authentication and audit all exposed property keys.,,5.3,"T1082, T1552.002",no
Unauthenticated Actuator ConfigProps Exposes Spring Binding and Bean Metadata,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Disable the configprops endpoint in web exposure or protect it with administrative authorization.,,5.3,"T1082, T1590.004",no
WebGoat Session ID Leaked in URL-Rewritten Redirect and Cookie Lacks Secure/SameSite,medium,OWASP WebGoat 2025.3 / Spring Security on Apache Tomcat 10.1.36,"Force cookie-only session tracking, enable TLS, and set Secure and SameSite on session cookies.",,6.1,"T1539, T1550.004",no
WebWolf Session Cookie Missing Secure and SameSite Attributes on Auth Redirects,medium,OWASP WebWolf / Spring Security on Apache Tomcat 10.1.36,Serve WebWolf only over HTTPS and set Secure and SameSite on WEBWOLFSESSION cookies.,,5.4,"T1539, T1550.004",no
GitHub OAuth Flow Uses Plaintext HTTP Callback and Non-Secure Session Cookie,medium,OWASP WebGoat 2025.3 OAuth2 Client / Spring Security on Apache Tomcat 10.1.36,"Serve WebGoat over HTTPS only, register an HTTPS OAuth callback URI, set Secure/SameSite cookies, and enable PKCE for public-client style deployments.",,6.5,"T1539, T1550.001",no
Authenticated WebWolf Arbitrary File Hosting Primitive,medium,OWASP WebWolf on Apache Tomcat 10.1.36,Restrict uploaded file types and make hosted files private or scoped to authorized users; do not use WebWolf-style public hosting in production.,,5.4,"T1105, T1583.006",no
WebGoat JWT Votes Endpoint Accepts Forged Admin Token Signed With Hard-Coded HS512 Secret,medium,OWASP WebGoat 2025.3 JWT Votes Lesson / Spring Boot on Apache Tomcat 10.1.36,"Remove the hard-coded JWT signing key, rotate the secret, and do not trust client-controlled admin claims for authorization decisions.",,6.5,"T1606, T1550.001",no
Unauthenticated WebGoat Self-Registration Grants Authenticated Access to Lesson Attack Surface,medium,OWASP WebGoat 2025.3 Registration / Spring Boot on Apache Tomcat 10.1.36,Disable public WebGoat registration on exposed hosts or restrict it to an internal lab network.,,5.3,T1078.003,no
Unauthenticated Spring Boot Actuator Disclosure on WebGoat,medium,OWASP WebGoat 2025.3 Spring Boot Actuator on Apache Tomcat 10.1.36,Restrict Actuator endpoints to authenticated administrators and disable env/configprops exposure in production.,,5.3,"T1082, T1552.002",no
WebGoat JWT Voting Token Uses Weak HS512 Secret Allowing Admin Claim Forgery,high,OWASP WebGoat 2025.3 JWT Voting Lesson / Spring Boot on Apache Tomcat 10.1.36,Use a high-entropy rotated signing key from a secret manager and derive authorization server-side rather than trusting mutable JWT admin claims.,,8.1,"T1550.001, T1606",no
WebGoat JWT voting endpoint accepts unsigned alg=none admin tokens,medium,OWASP WebGoat 2025.3 JWT Lesson API on Apache Tomcat 10.1.36,"Disable alg=none entirely, pin the expected JWT algorithm server-side, and require signature verification before trusting claims.",,6.5,"T1550.001, T1606",no
WebGoat JWT voting endpoint uses weak hard-coded HS512 secret 'victory',medium,OWASP WebGoat 2025.3 JWTVotesEndpoint / Spring Boot on Apache Tomcat 10.1.36,Replace hard-coded JWT secrets with a high-entropy rotated secret from a secure secret manager and invalidate existing tokens.,,6.5,"T1552.002, T1550.001",no
WebGoat Publicly Serves Legacy Vulnerable jQuery and jQuery UI Libraries,low,OWASP WebGoat 2025.3 static JavaScript on Apache Tomcat 10.1.36,Remove or isolate vulnerable lesson libraries from production/static paths and upgrade to jQuery >=3.5.0 and jQuery UI >=1.13.x.,,3.7,"CVE-2019-11358, CVE-2021-41182, CVE-2021-41183",no
Authenticated WebWolf Arbitrary HTML Upload Served Inline Enables Stored XSS/Content Injection,medium,OWASP WebWolf file hosting/upload on Apache Tomcat 10.1.36,"Restrict upload MIME/extensions, store files outside the web root, and serve user uploads with Content-Disposition: attachment plus X-Content-Type-Options: nosniff; use a separate untrusted domain for user content if inline rendering is required.",,6.1,"T1189, T1059.007",no
WebWolf File Upload Filename Traversal Escapes Per-User Directory,high,OWASP WebWolf file upload/download on Apache Tomcat 10.1.36,"Normalize and validate uploaded filenames, reject any path separators or '..', resolve the destination path, and enforce that it remains under the authenticated user's storage directory.",,8.1,"T1190, T1006",no
Unauthenticated Spring Boot Actuator Health Discloses Database and Filesystem Topology,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Restrict actuator endpoints to authenticated administrators and disable health details for unauthenticated users.,,5.3,"T1082, T1590.004",no
WebGoat JSESSIONID issued without Secure or SameSite on authentication redirect,medium,OWASP WebGoat 2025.3 / Spring Security on Apache Tomcat 10.1.36,Set Secure and SameSite=Lax/Strict on session cookies and serve WebGoat only over HTTPS.,,5.4,"T1539, T1550.004",no
Unauthenticated Spring Boot Actuator Environment Metadata Disclosure,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Restrict actuator endpoints to authenticated administrators and expose only health/info on untrusted interfaces.,,5.3,"T1082, T1552.002",no
Tomcat Default Error Page Version Disclosure,medium,Apache Tomcat 10.1.36 hosting OWASP WebGoat/WebWolf:8080,Disable Tomcat server info in error responses and use a generic application error page.,,5.3,T1082,no
Unauthenticated Actuator Health Leaks Database Engine Details,medium,OWASP WebGoat 2025.3 / Spring Boot Actuator on Apache Tomcat 10.1.36,Require authorization for detailed health components and expose only aggregate health publicly.,,5.3,"T1082, T1590.004",no
