finding,severity,target,remediation,tools_used,cvss,signature,novel
SQL Injection Authentication Bypass Issues Admin JWT,critical,OWASP Juice Shop 20.0.0 authentication API:3000,"Use parameterized ORM queries for login, reject SQL metacharacter bypasses, and require password hash verification before JWT issuance.",,9.8,"T1190, T1078",no
SQL Injection Authentication Bypass in Login,critical,OWASP Juice Shop 20.0.0 on Express ^4.22.1,"Use parameterized queries/ORM predicates for login, remove SQL string concatenation, and add regression tests for SQL metacharacters in credentials.",,9.8,"T1190, T1078",no
UNION SQL Injection in Product Search Exfiltrates User Password Hashes,critical,OWASP Juice Shop 20.0.0 on Express ^4.22.1 / SQLite via Sequelize:3000,Parameterize the search query and never interpolate the q value directly into SQL.,,9.1,"T1190, T1005",no
Default Administrator Credentials Accepted,high,OWASP Juice Shop 20.0.0 authentication:3000,Rotate the administrator password to a unique high-entropy secret and prevent deployment with default credentials.,,8.8,"T1078, T1110.001",no
Basket IDOR Allows Cross-User Cart Disclosure,medium,OWASP Juice Shop 20.0.0 basket REST API:3000,Enforce object-level authorization by filtering basket lookups on both basket ID and authenticated user ID.,,6.5,"T1190, T1087",no
FTP Extension Filter Bypass Exposes Restricted Backup and Binary Artifacts,high,OWASP Juice Shop 20.0.0 /ftp static file handler:3000,"Canonicalize and fully decode requested filenames before extension checks, reject null bytes/path traversal, and remove sensitive artifacts from the web root.",,7.5,"T1190, T1005",no
Unauthenticated Password Reset Security Question Disclosure,medium,OWASP Juice Shop 20.0.0 password reset API:3000,Do not expose reset questions by email lookup; move reset initiation to a generic out-of-band flow and rate-limit attempts.,,5.3,"T1589.002, T1110",no
Unauthenticated Admin Application Configuration Disclosure,medium,OWASP Juice Shop 20.0.0 admin configuration API:3000,Require administrator authentication for configuration endpoints and redact OAuth/client/deployment values not needed by the frontend.,,5.3,"T1190, T1592",no
Unsigned JWT alg=none Accepted for Admin Authorization,critical,OWASP Juice Shop 20.0.0 JWT authorization middleware:3000,"Configure JWT verification to allow only RS256, reject alg=none, and validate authorization from server-side user records rather than trusting mutable token role claims.",,9.8,"T1550.001, T1190",no
Unauthenticated Admin JWT Forgery via alg=none Acceptance,critical,OWASP Juice Shop 20.0.0 / Express ^4.22.1,Reject alg=none JWTs and enforce a fixed allow-list of signed algorithms during token verification.,,9.8,"T1190, T1606",no
